model,gene,top_celltype
PMC11384320_m6A_ferroptosis_COAD,HSD17B11,Epithelial
PMC11384320_m6A_ferroptosis_COAD,VEGFA,Epithelial
PMC11384320_m6A_ferroptosis_COAD,CXCL2,Macrophage
PMC11384320_m6A_ferroptosis_COAD,ASNS,Epithelial
PMC11384320_m6A_ferroptosis_COAD,FABP4,Endothelial
PMC11384320_m6A_ferroptosis_COAD,GPX2,Epithelial
PMC11297001_oxidative_stress_COAD,RYR2,Endothelial
PMC11297001_oxidative_stress_COAD,GSR,Epithelial
PMC11297001_oxidative_stress_COAD,GSTM1,Bcell
PMC11297001_oxidative_stress_COAD,HSPA1A,Fibroblast
PMC11297001_oxidative_stress_COAD,ACADL,Bcell
PMC11297001_oxidative_stress_COAD,STK25,Epithelial
PMC11297001_oxidative_stress_COAD,ALOX12,Epithelial
PMC11297001_oxidative_stress_COAD,MAPK12,Fibroblast
PMC11297001_oxidative_stress_COAD,SERPINA1,Macrophage
PMC11297001_oxidative_stress_COAD,CYP19A1,Fibroblast
PMC11297001_oxidative_stress_COAD,NOL3,Epithelial
PMC11297001_oxidative_stress_COAD,NGF,Bcell
PMC11297001_oxidative_stress_COAD,GDF15,Epithelial
PMC11297001_oxidative_stress_COAD,NTRK2,Epithelial
PMC11297001_oxidative_stress_COAD,DAPK1,Macrophage
PMC11297001_oxidative_stress_COAD,UCN,Macrophage
PMC11297001_oxidative_stress_COAD,HBA2,Epithelial
PMC11914417_disulfidptosis_CRC,VSIG4,Macrophage
PMC11914417_disulfidptosis_CRC,SCG2,Epithelial
PMC11914417_disulfidptosis_CRC,INHBB,Epithelial
PMC11914417_disulfidptosis_CRC,DDC,Epithelial
PMC11914417_disulfidptosis_CRC,CXCL13,Tcell
PMC11914417_disulfidptosis_CRC,KLK10,Epithelial
PMC11914417_disulfidptosis_CRC,CXCL10,Macrophage
PMC11914417_disulfidptosis_CRC,CCL11,Fibroblast
PMC8377503_glycolysis_colon,PPP2CB,Epithelial
PMC8377503_glycolysis_colon,PGM2,Epithelial
PMC8377503_glycolysis_colon,PPARGC1A,Epithelial
PMC8377503_glycolysis_colon,ENO3,Tcell
