model,gene,top_celltype
PMC10531437_lipid_ERstress_CRC,TIMP1,Fibroblast
PMC10531437_lipid_ERstress_CRC,AGRN,Epithelial
PMC10531437_lipid_ERstress_CRC,HSPA1A,Fibroblast
PMC10531437_lipid_ERstress_CRC,SNAP25,Bcell
PMC9636133_mitophagy_CRC,AMBRA1,Fibroblast
PMC9636133_mitophagy_CRC,ATG14,Epithelial
PMC9636133_mitophagy_CRC,MAP1LC3A,Epithelial
PMC9636133_mitophagy_CRC,MAP1LC3B,Epithelial
PMC9636133_mitophagy_CRC,OPTN,Epithelial
PMC9636133_mitophagy_CRC,VDAC1,Epithelial
PMC9636133_mitophagy_CRC,ATG5,Epithelial
PMC9636133_mitophagy_CRC,CSNK2A2,Epithelial
PMC9636133_mitophagy_CRC,MFN1,Macrophage
PMC9636133_mitophagy_CRC,TOMM22,Epithelial
PMC10900655_lactylation_CRC,HSPA1B,Epithelial
PMC10900655_lactylation_CRC,LGALS4,Epithelial
PMC10900655_lactylation_CRC,HSPB1,Epithelial
PMC10900655_lactylation_CRC,ARPC1B,Endothelial
PMC10900655_lactylation_CRC,ACTG1,Epithelial
PMC10900655_lactylation_CRC,LEPROTL1,Tcell
PMC10900655_lactylation_CRC,HMGN2,Tcell
PMC10900655_lactylation_CRC,SFPQ,MastCell
PMC10900655_lactylation_CRC,RBM3,Endothelial
PMC10900655_lactylation_CRC,SLC2A3,Macrophage
PMC10900655_lactylation_CRC,LY6E,Fibroblast
PMC10900655_lactylation_CRC,ARL4C,Tcell
PMC10900655_lactylation_CRC,UBE2I,Epithelial
PMC10900655_lactylation_CRC,AP2M1,Endothelial
PMC10900655_lactylation_CRC,TERF2IP,Endothelial
PMC10900655_lactylation_CRC,H2AFY,Epithelial
PMC10900655_lactylation_CRC,RAB5C,Macrophage
PMC10900655_lactylation_CRC,LITAF,Macrophage
PMC10900655_lactylation_CRC,MED10,Endothelial
PMC10900655_lactylation_CRC,RBM17,Epithelial
PMC10900655_lactylation_CRC,METTL9,Epithelial
PMC10900655_lactylation_CRC,NR1H2,Epithelial
PMC10900655_lactylation_CRC,PTTG1,Tcell
PMC9465161_m7G_lncRNA_COAD,LINC01011,Epithelial
PMC9465161_m7G_lncRNA_COAD,ALMS1-IT1,Epithelial
PMC9465161_m7G_lncRNA_COAD,ALKBH3-AS1,Epithelial
PMC9465161_m7G_lncRNA_COAD,LENG8-AS1,Endothelial
PMC9465161_m7G_lncRNA_COAD,NDUFB2-AS1,Epithelial
PMC9420977_cuproptosis_Glioma,FDX1,MES-like Malignant
PMC9420977_cuproptosis_Glioma,LIPT1,MES-like Malignant
PMC9420977_cuproptosis_Glioma,DLD,NPC-like Malignant
PMC9420977_cuproptosis_Glioma,DBT,MES-like Malignant
PMC9420977_cuproptosis_Glioma,GCSH,MES-like Malignant
PMC9420977_cuproptosis_Glioma,DLAT,MES-like Malignant
PMC9420977_cuproptosis_Glioma,SLC31A1,MES-like Malignant
PMC9420977_cuproptosis_Glioma,ATP7A,MES-like Malignant
PMC9420977_cuproptosis_Glioma,ATP7B,MES-like Malignant
PMC12239816_hypoxia_Glioma,ALOX5,Mono/Macro
PMC12239816_hypoxia_Glioma,NGB,NPC-like Malignant
PMC12239816_hypoxia_Glioma,SLC2A1,MES-like Malignant
PMC12239816_hypoxia_Glioma,ATF3,Mono/Macro
PMC12239816_hypoxia_Glioma,OXSR1,MES-like Malignant
PMC12239816_hypoxia_Glioma,SLC2A3,Mono/Macro
PMC12239816_hypoxia_Glioma,CAPG,Mono/Macro
PMC12239816_hypoxia_Glioma,PRDX1,MES-like Malignant
PMC12239816_hypoxia_Glioma,SLC40A1,AC-like Malignant
